"Name","Brewery","Rating","Link","Style","Locations","Num Reviews","Light","Dark","Fruit","Sweet","Carbonation","Bitter","Spice"
"Barrel Trolley Pale Ale","World Brews","75","http://beeradvocate.com/beer/profile/21092/71285/?sort=topr","English Pale Ale","{'Iowa': 1, 'Pennsylvania': 2, 'Alberta (Canada)': 1, 'Florida': 3, 'Virginia': 1, 'North Carolina': 3, 'Illinois': 3, 'New York': 2, 'California': 3, 'Maryland': 1, 'Ontario (Canada)': 1}","21","105","20","32","48","39","77","2"
"Headstrong Pale Ale","Big Hole Brewing Company","79","http://beeradvocate.com/beer/profile/1602/5047/?sort=topr","English Pale Ale","{'Alberta (Canada)': 5, 'Minnesota': 6, 'Illinois': 2, 'Arkansas': 1, 'Indiana': 2, 'Idaho': 1, 'Ontario (Canada)': 22, 'Manitoba (Canada)': 1, 'Iowa': 1, 'Michigan': 4, 'Oregon': 1, 'Montana': 1, 'New Hampshire': 1, 'Massachusetts': 2, 'California': 7, 'Vermont': 1, 'Pennsylvania': 4, 'Nova Scotia (Canada)': 1, 'Missouri': 1, 'Wisconsin': 3, 'Washington': 1, 'North Carolina': 1, 'New York': 1}","70","317","128","199","246","168","252","13"
"Mayflower Pale Ale","Mayflower Brewing Company","83","http://beeradvocate.com/beer/profile/16105/40873/?sort=topr","English Pale Ale","{'Mississippi': 1, 'Oklahoma': 1, 'Wyoming': 1, 'Minnesota': 1, 'Indiana': 1, 'Texas': 1, 'Ontario (Canada)': 1, 'Arizona': 1, 'Michigan': 1, 'Utah': 1, 'Connecticut': 1, 'New Hampshire': 3, 'Massachusetts': 41, 'South Carolina': 1, 'Georgia': 1, 'Pennsylvania': 5, 'Rhode Island': 4, 'Missouri': 1, 'Ohio': 1, 'Colorado': 2, 'New Jersey': 2, 'Saskatchewan (Canada)': 1, 'North Carolina': 2, 'New York': 5}","80","478","156","193","262","173","341","20"
"Discovery Blonde Beer","Fuller Smith &amp; Turner PLC","81","http://beeradvocate.com/beer/profile/71/23957/?sort=topr","English Pale Ale","{'Belarus': 1, 'Wisconsin': 1, 'United Kingdom (Scotland)': 1, 'New Jersey': 1, 'Australia': 3, 'Finland': 1, 'Oregon': 1, 'Slovenia': 1, 'Sweden': 5, 'New York': 1, 'California': 1, 'United Kingdom (England)': 6, 'Bolivia': 1, 'Norway': 1, 'United Kingdom (Wales)': 1, 'United Kingdom (Northern Ireland)': 2, 'Ontario (Canada)': 1}","29","219","37","122","100","75","86","7"
"Cross Of Gold","Revolution Brewing Company","85","http://beeradvocate.com/beer/profile/22072/55858/?sort=topr","English Pale Ale","{'Colorado': 1, 'Virginia': 1, 'Illinois': 15, 'Connecticut': 1, 'District of Columbia': 1, 'California': 3, 'Nevada': 1}","23","179","16","43","47","44","90","5"
"Monteith's Original Ale","Monteith's Brewing Co.","73","http://beeradvocate.com/beer/profile/627/4592/?sort=topr","English Pale Ale","{'Vermont': 1, 'Australia': 15, 'Wisconsin': 1, 'Colorado': 2, 'Pennsylvania': 3, 'Quebec (Canada)': 1, 'Oklahoma': 1, 'Minnesota': 1, 'Illinois': 2, 'Connecticut': 1, 'New York': 1, 'New Hampshire': 1, 'Massachusetts': 1, 'District of Columbia': 1, 'California': 7, 'United Kingdom (England)': 3, 'Maryland': 2}","44","181","78","41","163","78","120","1"
"6X","Wadworth and Company Ltd.","79","http://beeradvocate.com/beer/profile/2749/8364/?sort=topr","English Pale Ale","{'Georgia': 1, 'Italy': 1, 'Pennsylvania': 2, 'Quebec (Canada)': 1, 'Alberta (Canada)': 1, 'Oregon': 2, 'France': 1, 'Sweden': 1, 'Australia': 4, 'California': 4, 'Missouri': 1, 'Switzerland': 1, 'China': 1, 'United Kingdom (England)': 3, 'British Columbia (Canada)': 1, 'United Kingdom (Northern Ireland)': 2, 'Ontario (Canada)': 13}","40","154","85","103","168","83","147","6"
"St. Peter's Organic English Ale","St. Peter's Brewery Co Ltd","81","http://beeradvocate.com/beer/profile/296/66958/?sort=topr","English Pale Ale","{'Wyoming': 1, 'British Columbia (Canada)': 1, 'California': 2, 'New Jersey': 1, 'Michigan': 1, 'West Virginia': 1, 'Florida': 1, 'Mexico': 1, 'Pennsylvania': 1, 'Nebraska': 1, 'Indiana': 1, 'Massachusetts': 2, 'Finland': 1, 'Missouri': 1, 'Ohio': 3, 'Maryland': 1, 'New York': 2, 'Maine': 1, 'Texas': 1, 'Ontario (Canada)': 2}","27","167","47","52","75","61","86","1"
"Golden Champion","Badger Brewery, Hall and Woodhouse","83","http://beeradvocate.com/beer/profile/1306/4701/?sort=topr","English Pale Ale","{'Australia': 8, 'United Kingdom (Scotland)': 1, 'Pennsylvania': 2, 'Quebec (Canada)': 1, 'Alberta (Canada)': 2, 'Kentucky': 1, 'France': 1, 'North Carolina': 1, 'Sweden': 1, 'New York': 1, 'California': 1, 'Oregon': 1, 'Switzerland': 1, 'China': 1, 'United Kingdom (England)': 5, 'Bolivia': 1, 'Maryland': 1, 'United Kingdom (Northern Ireland)': 2, 'Ontario (Canada)': 17}","50","274","68","229","157","111","143","27"
"Blue Buck","Phillips Brewing Company","83","http://beeradvocate.com/beer/profile/2675/49755/?sort=topr","English Pale Ale","{'Alberta (Canada)': 5, 'Washington': 1, 'North Carolina': 1, 'Sweden': 1, 'Tennessee': 1, 'California': 1, 'Ontario (Canada)': 4, 'British Columbia (Canada)': 8}","22","142","33","48","96","55","65","3"
"Trashy Blonde","BrewDog","81","http://beeradvocate.com/beer/profile/16315/47777/?sort=topr","English Pale Ale","{'Italy': 1, 'Alberta (Canada)': 2, 'Norway': 2, 'Ontario (Canada)': 5, 'Australia': 9, 'United Kingdom (Scotland)': 4, 'New York': 1, 'California': 2, 'Massachusetts': 1, 'Germany': 2, 'United Kingdom (Wales)': 1, 'Netherlands': 4, 'Pennsylvania': 2, 'Quebec (Canada)': 2, 'Florida': 1, 'Nova Scotia (Canada)': 2, 'Sweden': 6, 'Ohio': 1, 'Alabama': 1, 'United Kingdom (Northern Ireland)': 2, 'Portugal': 1, 'South Africa': 1, 'Prince Edward Island (Canada)': 1, 'Greece': 1, 'United Kingdom (England)': 7}","62","363","76","208","148","144","270","17"
"St. Peter's Organic Ale","St. Peter's Brewery Co Ltd","79","http://beeradvocate.com/beer/profile/296/8326/?sort=topr","English Pale Ale","{'Italy': 1, 'Alberta (Canada)': 1, 'Minnesota': 1, 'Illinois': 1, 'Indiana': 4, 'Maryland': 1, 'Louisiana': 2, 'Texas': 3, 'Ontario (Canada)': 5, 'Arizona': 2, 'Iowa': 1, 'United Kingdom (Scotland)': 4, 'Norway': 1, 'Michigan': 4, 'Virginia': 3, 'Oregon': 2, 'Connecticut': 1, 'New York': 5, 'California': 2, 'Massachusetts': 1, 'Vermont': 1, 'Georgia': 2, 'Pennsylvania': 1, 'Quebec (Canada)': 1, 'Poland': 1, 'Kentucky': 1, 'United Kingdom (Northern Ireland)': 1, 'Sweden': 1, 'Australia': 2, 'France': 1, 'Idaho': 1, 'New Jersey': 2, 'Washington': 2, 'North Carolina': 1, 'Tennessee': 1, 'Greece': 1, 'United Kingdom (England)': 7, 'British Columbia (Canada)': 2}","74","340","104","201","181","153","256","15"
"Dundee English-Style Ale","Genesee Brewing Co. / Dundee Brewing Co.","73","http://beeradvocate.com/beer/profile/302/73081/?sort=topr","English Pale Ale","{'Georgia': 2, 'Colorado': 2, 'Pennsylvania': 6, 'Virginia': 1, 'Michigan': 2, 'Missouri': 2, 'Minnesota': 2, 'Illinois': 2, 'Montana': 1, 'New Hampshire': 1, 'Ohio': 3, 'South Carolina': 1, 'Indiana': 3, 'Maryland': 2, 'New York': 3, 'Maine': 1, 'Texas': 3, 'Arizona': 1}","40","229","57","60","132","79","85","0"
"Mountain Goat Hightail Ale","Mountain Goat Beer Pty Ltd","80","http://beeradvocate.com/beer/profile/1540/5339/?sort=topr","English Pale Ale","{'Australia': 32, 'New Jersey': 1, 'Alberta (Canada)': 1, 'Florida': 1, 'Hawaii': 1, 'Illinois': 2, 'Montana': 1, 'California': 3, 'Missouri': 1, 'Japan': 1, 'Maryland': 1, 'New York': 1, 'United Kingdom (England)': 1, 'Ontario (Canada)': 1}","49","144","98","142","186","101","203","7"
"Royal Oak Pale Ale","O'Hanlon's Brewing Co. Ltd.","89","http://beeradvocate.com/beer/profile/1533/16169/?sort=topr","English Pale Ale","{'Oklahoma': 1, 'Wyoming': 1, 'Minnesota': 2, 'Illinois': 2, 'Maryland': 1, 'Texas': 1, 'Ontario (Canada)': 4, 'Australia': 1, 'Iowa': 1, 'Michigan': 3, 'Virginia': 2, 'California': 4, 'Massachusetts': 1, 'South Carolina': 1, 'New Hampshire': 1, 'Germany': 1, 'Wisconsin': 1, 'Pennsylvania': 5, 'Kentucky': 2, 'Arizona': 3, 'Missouri': 1, 'Ohio': 2, 'New Jersey': 7, 'Washington': 1, 'North Carolina': 4, 'New York': 3, 'United Kingdom (England)': 2, 'British Columbia (Canada)': 1}","59","224","159","243","222","142","241","25"
"Ivanhoe","Ridgeway Brewing","83","http://beeradvocate.com/beer/profile/7944/17796/?sort=topr","English Pale Ale","{'Italy': 1, 'Minnesota': 2, 'Illinois': 1, 'Louisiana': 1, 'Iowa': 1, 'United Kingdom (Scotland)': 1, 'Michigan': 2, 'Virginia': 2, 'Oregon': 1, 'Connecticut': 1, 'New York': 6, 'New Hampshire': 2, 'Massachusetts': 6, 'California': 4, 'United Kingdom (Wales)': 1, 'Pennsylvania': 5, 'Florida': 1, 'Hawaii': 1, 'Kentucky': 2, 'Sweden': 1, 'Ohio': 4, 'Colorado': 1, 'Mexico': 1, 'New Jersey': 6, 'North Carolina': 6, 'Tennessee': 1, 'United Kingdom (England)': 3}","64","302","121","193","213","151","275","21"
"46'er Pale Ale","Lake Placid Craft Brewing Company","81","http://beeradvocate.com/beer/profile/1888/6752/?sort=topr","English Pale Ale","{'Alberta (Canada)': 1, 'Minnesota': 2, 'New Mexico': 1, 'Indiana': 1, 'Maryland': 1, 'Texas': 1, 'Ontario (Canada)': 2, 'Michigan': 1, 'Kansas': 1, 'Virginia': 1, 'Oregon': 1, 'Connecticut': 4, 'California': 5, 'Massachusetts': 7, 'New Hampshire': 4, 'Vermont': 1, 'Georgia': 1, 'Pennsylvania': 14, 'Quebec (Canada)': 1, 'Florida': 1, 'Rhode Island': 2, 'Missouri': 2, 'Ohio': 2, 'Colorado': 3, 'New Jersey': 10, 'North Carolina': 3, 'New York': 25, 'Maine': 2}","100","419","110","318","279","204","445","23"
"Proper","Furthermore Beer","78","http://beeradvocate.com/beer/profile/14154/31696/?sort=topr","English Pale Ale","{'Korea (North)': 1, 'Georgia': 2, 'Wisconsin': 12, 'Pennsylvania': 7, 'Virginia': 3, 'Michigan': 1, 'Missouri': 2, 'Washington': 1, 'Minnesota': 13, 'North Carolina': 1, 'Illinois': 6, 'New Jersey': 1, 'Tennessee': 2, 'Massachusetts': 2, 'Ohio': 2, 'Iowa': 4, 'Maryland': 1, 'Ontario (Canada)': 1}","62","383","96","168","244","134","219","13"
"Classic Pale Ale","Whistler Brewing Company","78","http://beeradvocate.com/beer/profile/14349/31985/?sort=topr","English Pale Ale","{'Australia': 1, 'New Jersey': 1, 'Alberta (Canada)': 8, 'Washington': 3, 'Connecticut': 1, 'California': 1, 'Maryland': 1, 'Idaho': 1, 'British Columbia (Canada)': 7}","24","113","42","48","73","65","102","8"
"Victory Ale","George Bateman and Son Ltd. / Batemans Brewery","84","http://beeradvocate.com/beer/profile/807/26012/?sort=topr","English Pale Ale","{'Netherlands': 1, 'Australia': 4, 'United Kingdom (Scotland)': 5, 'Connecticut': 1, 'New York': 1, 'Russian Federation': 1, 'United Kingdom (England)': 9, 'Ontario (Canada)': 1, 'Alabama': 1, 'British Columbia (Canada)': 1}","25","93","40","66","130","60","91","15"
"Circle Master","Wychwood Brewery Company Ltd","75","http://beeradvocate.com/beer/profile/160/6676/?sort=topr","English Pale Ale","{'Australia': 4, 'Italy': 1, 'United Kingdom (Scotland)': 2, 'Pennsylvania': 1, 'Finland': 1, 'Virginia': 2, 'Kentucky': 1, 'Sweden': 4, 'Oregon': 1, 'United Kingdom (England)': 4, 'Norway': 1}","22","78","30","74","78","43","99","2"
"Haymaker","Hook Norton Brewery Co. Ltd.","82","http://beeradvocate.com/beer/profile/3052/7270/?sort=topr","English Pale Ale","{'Australia': 5, 'United Kingdom (Scotland)': 1, 'South Africa': 1, 'Quebec (Canada)': 1, 'Alberta (Canada)': 1, 'Sweden': 1, 'New York': 1, 'California': 3, 'Massachusetts': 2, 'Ireland': 1, 'Belgium': 1, 'Germany': 1, 'United Kingdom (England)': 2, 'United Kingdom (Northern Ireland)': 1, 'Michigan': 1, 'Ontario (Canada)': 4}","27","166","46","90","117","67","119","12"
"Hoppin' Mad","Granite Brewery &amp; Restaurant","85","http://beeradvocate.com/beer/profile/816/45329/?sort=topr","English Pale Ale","{'Quebec (Canada)': 2, 'Alberta (Canada)': 1, 'Illinois': 1, 'New York': 1, 'Ohio': 1, 'British Columbia (Canada)': 1, 'Ontario (Canada)': 14}","21","67","34","129","57","57","101","1"
"Grand Ridge Gippsland Gold","Grand Ridge Brewing Co.","82","http://beeradvocate.com/beer/profile/1478/3898/?sort=topr","English Pale Ale","{'Australia': 22, 'Colorado': 1, 'Singapore': 2, 'Missouri': 1, 'Japan': 1, 'United Kingdom (England)': 2}","29","109","69","39","169","58","115","1"
"Falls City Beer","Falls City Brewing Company","77","http://beeradvocate.com/beer/profile/22779/63581/?sort=topr","English Pale Ale","{'Indiana': 4, 'Oklahoma': 1, 'Tennessee': 1, 'Kentucky': 2, 'Ohio': 2}","10","62","30","16","69","25","48","2"
"Reindeer Droppings","Ridgeway Brewing","79","http://beeradvocate.com/beer/profile/7944/58518/?sort=topr","English Pale Ale","{'Wisconsin': 1, 'Pennsylvania': 3, 'Kentucky': 1, 'Illinois': 1, 'New Jersey': 1, 'Sweden': 1, 'New York': 1, 'New Hampshire': 1, 'Massachusetts': 3, 'Missouri': 1, 'California': 1, 'Ohio': 1, 'Louisiana': 1, 'Ontario (Canada)': 1}","18","116","41","68","76","44","90","7"
"Durham Signature Ale","County Durham Brewing Company","82","http://beeradvocate.com/beer/profile/2793/7582/?sort=topr","English Pale Ale","{'Georgia': 2, 'Pennsylvania': 1, 'Quebec (Canada)': 1, 'Alberta (Canada)': 2, 'Arizona': 1, 'Massachusetts': 1, 'Ontario (Canada)': 17, 'British Columbia (Canada)': 1}","26","117","40","75","88","57","137","3"
"Pale Ale","Fort Garry Brewing Company Ltd.","77","http://beeradvocate.com/beer/profile/4043/11185/?sort=topr","English Pale Ale","{'Manitoba (Canada)': 3, 'Saskatchewan (Canada)': 1, 'Alberta (Canada)': 8, 'Nova Scotia (Canada)': 1, 'Quebec (Canada)': 1, 'Ontario (Canada)': 5, 'British Columbia (Canada)': 1}","20","130","35","23","87","44","89","1"
"Captain's Copper","Shipwrecked Brew Pub, Restaurant and Inn","75","http://beeradvocate.com/beer/profile/1834/10200/?sort=topr","English Pale Ale","{'Wisconsin': 11, 'New Jersey': 1, 'Michigan': 1, 'Florida': 1, 'Minnesota': 2, 'Illinois': 6}","22","81","31","22","56","40","55","0"
"Native Storm","The Celt Experience Brewery","82","http://beeradvocate.com/beer/profile/20776/79652/?sort=topr","English Pale Ale","{'Quebec (Canada)': 1, 'North Carolina': 1, 'New Hampshire': 1, 'Massachusetts': 1, 'Ohio': 1, 'United Kingdom (Wales)': 1, 'Ontario (Canada)': 9}","15","56","31","29","56","44","72","8"
"Schooner Ale","Port Jeff Brewing Company","85","http://beeradvocate.com/beer/profile/26967/74332/?sort=topr","English Pale Ale","{'New York': 10}","11","47","22","19","48","30","40","2"
"Young's Special","Wells &amp; Young's Ltd","88","http://beeradvocate.com/beer/profile/664/4632/?sort=topr","English Pale Ale","{'Australia': 2, 'New Jersey': 1, 'Washington': 1, 'Michigan': 1, 'Florida': 3, 'Virginia': 1, 'Oregon': 1, 'Illinois': 1, 'Pennsylvania': 1, 'Sweden': 1, 'Georgia': 2, 'California': 4, 'Massachusetts': 3, 'Switzerland': 1, 'New York': 2, 'United Kingdom (England)': 4, 'United Kingdom (Northern Ireland)': 1, 'Minnesota': 1, 'Ontario (Canada)': 1}","32","119","43","61","113","54","149","6"
"Pride Of Oxford","Oxfordshire Ales","77","http://beeradvocate.com/beer/profile/16419/56765/?sort=topr","English Pale Ale","{'Australia': 3, 'California': 1, 'Pennsylvania': 2, 'Michigan': 1, 'Wyoming': 1, 'New Jersey': 2, 'Ohio': 2, 'New Hampshire': 1, 'West Virginia': 1, 'Indiana': 2, 'United Kingdom (England)': 2, 'Oklahoma': 1, 'Texas': 1}","20","140","31","78","46","47","74","8"
"Blackbeard Ale","Virgin Islands Brewing Co.","81","http://beeradvocate.com/beer/profile/270/748/?sort=topr","English Pale Ale","{'Georgia': 1, 'Iowa': 1, 'Arizona': 1, 'Pennsylvania': 2, 'North Carolina': 1, 'Michigan': 3, 'Missouri': 1, 'Florida': 6, 'Virginia': 1, 'Oregon': 2, 'Illinois': 1, 'New Jersey': 2, 'New York': 1, 'California': 1, 'Massachusetts': 2, 'Puerto Rico': 1, 'South Carolina': 2, 'Nevada': 2, 'Minnesota': 2, 'Texas': 2, 'Ontario (Canada)': 1}","36","153","90","67","145","56","112","7"
"Cascade First Harvest Ale","Cascade Brewery Company Ltd.","76","http://beeradvocate.com/beer/profile/1595/4464/?sort=topr","English Pale Ale","{'United Kingdom (England)': 1, 'Australia': 23, 'Colorado': 1, 'Ontario (Canada)': 1}","26","140","39","69","118","70","171","5"
"Hooky Gold","Hook Norton Brewery Co. Ltd.","85","http://beeradvocate.com/beer/profile/3052/37800/?sort=topr","English Pale Ale","{'Brazil': 1, 'United Kingdom (Northern Ireland)': 1, 'Iowa': 1, 'Colorado': 1, 'South Africa': 1, 'Wyoming': 1, 'Florida': 1, 'Virginia': 1, 'North Carolina': 1, 'United Kingdom (Wales)': 1, 'Connecticut': 1, 'Tennessee': 2, 'California': 1, 'Massachusetts': 3, 'Missouri': 1, 'United Kingdom (England)': 4, 'New York': 4, 'Alabama': 1}","27","188","47","137","77","72","130","12"
"Wells Bombardier Burning Gold","Wells &amp; Young's Ltd","73","http://beeradvocate.com/beer/profile/664/36962/?sort=topr","English Pale Ale","{'Australia': 2, 'United Kingdom (Scotland)': 2, 'South Africa': 1, 'Quebec (Canada)': 1, 'Oregon': 1, 'France': 1, 'Sweden': 1, 'New York': 1, 'California': 1, 'Switzerland': 1, 'United Kingdom (England)': 4, 'United Kingdom (Wales)': 1, 'Ontario (Canada)': 13}","30","200","30","73","77","72","91","2"
"Simple Malt Golding Pale Ale","Brasseurs Illimités","83","http://beeradvocate.com/beer/profile/21006/61169/?sort=topr","English Pale Ale","{'Quebec (Canada)': 7, 'Vermont': 1, 'New Hampshire': 1, 'Ontario (Canada)': 7}","16","72","29","35","66","41","63","4"
"Summer Ale","St. George Brewing Company, The","83","http://beeradvocate.com/beer/profile/1762/43621/?sort=topr","English Pale Ale","{'Georgia': 1, 'Colorado': 1, 'Pennsylvania': 3, 'Oregon': 1, 'Virginia': 12, 'Kentucky': 1, 'Illinois': 1, 'North Carolina': 1, 'Connecticut': 1, 'District of Columbia': 1, 'California': 1, 'Massachusetts': 3, 'Indiana': 1, 'Ohio': 1, 'Maryland': 1}","30","165","50","53","111","62","120","23"
"Trade Winds","Cairngorm Brewery Company, The","88","http://beeradvocate.com/beer/profile/3403/20310/?sort=topr","English Pale Ale","{'Netherlands': 1, 'United Kingdom (Scotland)': 4, 'Finland': 1, 'Connecticut': 1, 'Germany': 1, 'Massachusetts': 1, 'Ireland': 1, 'Ohio': 1, 'United Kingdom (England)': 4, 'United Kingdom (Northern Ireland)': 2, 'Norway': 1, 'Alabama': 1, 'Texas': 1}","20","119","30","125","48","54","81","6"
"Williams Gold","Williams Brothers Brewing Company","83","http://beeradvocate.com/beer/profile/12142/25646/?sort=topr","English Pale Ale","{'United Kingdom (Northern Ireland)': 1, 'United Kingdom (Scotland)': 1, 'Pennsylvania': 1, 'Missouri': 1, 'North Carolina': 2, 'New Jersey': 1, 'New York': 3, 'New Hampshire': 1, 'Massachusetts': 3, 'China': 1, 'Indiana': 1, 'Ohio': 2, 'Maryland': 1, 'Germany': 1, 'United Kingdom (England)': 1, 'Texas': 1}","22","187","34","86","82","56","101","9"
"Yukon Gold English Pale Ale","Yukon Brewing Company","80","http://beeradvocate.com/beer/profile/4701/11804/?sort=topr","English Pale Ale","{'Pennsylvania': 1, 'Alberta (Canada)': 12, 'Minnesota': 2, 'California': 2, 'Alabama': 1, 'Ontario (Canada)': 5, 'Texas': 1, 'British Columbia (Canada)': 3}","27","191","49","56","131","62","93","0"
"Rogers Beer","Little Creatures Brewing Company","81","http://beeradvocate.com/beer/profile/744/5772/?sort=topr","English Pale Ale","{'United Kingdom (England)': 2, 'Australia': 26, 'Hawaii': 1, 'British Columbia (Canada)': 1}","30","109","47","56","99","63","99","1"
"Dead Leaf Green","Russian River Brewing Company","86","http://beeradvocate.com/beer/profile/863/30908/?sort=topr","English Pale Ale","{'Manitoba (Canada)': 1, 'New Jersey': 1, 'Connecticut': 1, 'California': 12, 'Massachusetts': 1, 'Alabama': 1}","17","106","20","27","53","33","69","1"
"Pick Axe Pale Ale","Tommyknocker Brewery","76","http://beeradvocate.com/beer/profile/156/76902/?sort=topr","English Pale Ale","{'Alabama': 1, 'New York': 1}","2","10","5","4","2","3","8","0"
"Organic Pale Ale","Redoak Boutique Beer Café","74","http://beeradvocate.com/beer/profile/10089/19567/?sort=topr","English Pale Ale","{'Washington': 1, 'Australia': 17, 'Florida': 1}","19","100","17","69","42","32","71","6"
"Jennings Cumberland Ale","Jennings Brothers PLC","81","http://beeradvocate.com/beer/profile/1303/9117/?sort=topr","English Pale Ale","{'Australia': 3, 'United Kingdom (Scotland)': 2, 'South Africa': 1, 'Pennsylvania': 1, 'Quebec (Canada)': 1, 'Virginia': 2, 'France': 1, 'Connecticut': 1, 'District of Columbia': 1, 'Belgium': 1, 'United Kingdom (England)': 6, 'Bolivia': 1, 'Ontario (Canada)': 1}","22","123","22","48","56","47","88","3"
"Cascade Pale Ale","Cascade Brewery Company Ltd.","66","http://beeradvocate.com/beer/profile/1595/4465/?sort=topr","English Pale Ale","{'United Kingdom (England)': 1, 'Australia': 17, 'California': 1, 'Oregon': 1}","20","96","5","17","33","40","63","5"
"Propeller Pale Ale","Propeller Brewery","82","http://beeradvocate.com/beer/profile/1878/5262/?sort=topr","English Pale Ale","{'Manitoba (Canada)': 1, 'Wisconsin': 1, 'Kentucky': 1, 'Quebec (Canada)': 2, 'Alberta (Canada)': 5, 'Minnesota': 1, 'Nova Scotia (Canada)': 5, 'Massachusetts': 1, 'New York': 1, 'New Brunswick (Canada)': 2, 'British Columbia (Canada)': 1, 'Ontario (Canada)': 11}","32","224","48","107","86","70","143","5"
"CB's English Pale Ale","CB's Brewing Company","80","http://beeradvocate.com/beer/profile/761/3612/?sort=topr","English Pale Ale","{'Georgia': 1, 'Colorado': 1, 'Pennsylvania': 2, 'Australia': 1, 'Missouri': 1, 'North Carolina': 2, 'Connecticut': 1, 'New York': 11, 'Ohio': 2, 'South Carolina': 1, 'Indiana': 1, 'Maryland': 2, 'Ontario (Canada)': 1}","27","90","58","42","100","51","99","0"
"Three Sheets","Lord Nelson Brewery Hotel","78","http://beeradvocate.com/beer/profile/1542/8251/?sort=topr","English Pale Ale","{'Australia': 14, 'Pennsylvania': 1, 'Illinois': 2, 'New York': 2, 'Massachusetts': 1, 'Japan': 1, 'United Kingdom (England)': 1}","22","106","15","78","42","41","57","7"
"Butty Bach","Wye Valley Brewery","81","http://beeradvocate.com/beer/profile/1530/4115/?sort=topr","English Pale Ale","{'Georgia': 1, 'Iowa': 1, 'Colorado': 1, 'California': 1, 'Pennsylvania': 1, 'Michigan': 1, 'Minnesota': 1, 'North Carolina': 3, 'Virginia': 1, 'Connecticut': 1, 'New York': 3, 'New Hampshire': 1, 'Arkansas': 1, 'Missouri': 1, 'Ohio': 1, 'United Kingdom (England)': 2, 'United Kingdom (Northern Ireland)': 1, 'Maine': 1}","23","140","39","76","70","59","107","5"
"Founders Solid Gold Extra Pale Ale","Founders Brewing Company","82","http://beeradvocate.com/beer/profile/1199/43373/?sort=topr","English Pale Ale","{'New Jersey': 1, 'Michigan': 3, 'Virginia': 1, 'Kentucky': 1, 'Illinois': 1, 'New York': 1, 'Ontario (Canada)': 1}","9","82","10","33","24","21","36","8"
"Maclay's Traditional Pale Ale","Sleeman Breweries Ltd.","64","http://beeradvocate.com/beer/profile/415/25133/?sort=topr","English Pale Ale","{'Quebec (Canada)': 2, 'Alberta (Canada)': 7, 'Michigan': 1, 'Ontario (Canada)': 21}","31","221","11","40","56","70","59","1"
"Dark Star Sunburst","Dark Star Brewing Company Limited","84","http://beeradvocate.com/beer/profile/7898/19825/?sort=topr","English Pale Ale","{'Quebec (Canada)': 1, 'Sweden': 1, 'New York': 4, 'California': 1, 'China': 1, 'United Kingdom (England)': 5, 'Norway': 1, 'Ontario (Canada)': 21}","36","259","56","174","107","113","164","3"
"Arbor Brewing Tree Fort Beer","Arbor Brewing Company","81","http://beeradvocate.com/beer/profile/1457/41723/?sort=topr","English Pale Ale","{'Korea (North)': 1, 'Pennsylvania': 2, 'Michigan': 12, 'Virginia': 1, 'Kentucky': 1, 'Illinois': 2, 'Missouri': 1, 'Ohio': 3, 'Maryland': 1, 'Ontario (Canada)': 1}","25","130","43","68","39","41","60","6"
"Whitstable Bay Organic Ale","Shepherd Neame Ltd","73","http://beeradvocate.com/beer/profile/138/8081/?sort=topr","English Pale Ale","{'Australia': 3, 'United Kingdom (Scotland)': 2, 'Denmark': 1, 'Sweden': 6, 'Massachusetts': 1, 'Switzerland': 1, 'United Kingdom (England)': 5, 'United Kingdom (Northern Ireland)': 1, 'Norway': 1, 'Spain': 1, 'Ontario (Canada)': 1}","23","88","18","39","71","47","89","3"
"London Pale Ale","Meantime Brewing Company Limited","84","http://beeradvocate.com/beer/profile/5062/44141/?sort=topr","English Pale Ale","{'Brazil': 2, 'Australia': 2, 'United Kingdom (Scotland)': 1, 'Pennsylvania': 2, 'Michigan': 1, 'Finland': 1, 'Connecticut': 1, 'Oregon': 1, 'France': 1, 'Sweden': 2, 'Germany': 1, 'New Mexico': 1, 'Ireland': 1, 'United Kingdom (England)': 4, 'Ontario (Canada)': 2, 'United Kingdom (Wales)': 1, 'United Kingdom (Northern Ireland)': 1, 'British Columbia (Canada)': 1}","27","145","32","133","98","73","147","5"
"Speight's Gold Medal Ale","New Zealand Breweries Limited","78","http://beeradvocate.com/beer/profile/915/10329/?sort=topr","English Pale Ale","{'Australia': 4, 'United Kingdom (Scotland)': 1, 'Pennsylvania': 2, 'Alberta (Canada)': 1, 'Hawaii': 1, 'Illinois': 1, 'New Zealand (Aotearoa)': 2, 'California': 3, 'United Kingdom (Northern Ireland)': 1}","17","81","13","13","62","41","39","1"
"Firefly Ale","Dogfish Head Brewery","83","http://beeradvocate.com/beer/profile/10099/83701/?sort=topr","English Pale Ale","{'Pennsylvania': 1, 'Delaware': 1, 'Florida': 2, 'Maine': 1}","5","49","6","17","18","14","18","1"
