"Name","Brewery","Rating","Link","Style","Locations","Num Reviews","Light","Dark","Fruit","Sweet","Carbonation","Bitter","Spice"
"Uerige Sticke","Uerige Obergärige Hausbrauerei GmbH / Zum Uerige","92","http://beeradvocate.com/beer/profile/1923/16146/?sort=topr","Altbier","{'Brazil': 1, 'Italy': 1, 'Delaware': 1, 'Minnesota': 2, 'Illinois': 6, 'Indiana': 2, 'Maryland': 5, 'Ontario (Canada)': 2, 'Arizona': 2, 'Iowa': 1, 'United Kingdom (Scotland)': 1, 'Virginia': 3, 'Slovenia': 1, 'Connecticut': 1, 'New York': 4, 'Germany': 1, 'Massachusetts': 4, 'South Carolina': 4, 'California': 16, 'Wisconsin': 2, 'Vermont': 3, 'Georgia': 2, 'Pennsylvania': 10, 'Poland': 1, 'Florida': 4, 'Kentucky': 1, 'Missouri': 3, 'Ohio': 2, 'Alabama': 3, 'Colorado': 1, 'New Jersey': 3, 'Washington': 1, 'North Carolina': 1, 'Tennessee': 2, 'United Kingdom (England)': 1, 'Maine': 1, 'British Columbia (Canada)': 1}","100","390","344","167","506","244","344","55"
"Altbier","French Broad Brewing Co.","79","http://beeradvocate.com/beer/profile/2455/40879/?sort=topr","Altbier","{'Tennessee': 1, 'Georgia': 5, 'Wisconsin': 2, 'Pennsylvania': 2, 'Florida': 2, 'Oklahoma': 1, 'Utah': 1, 'Virginia': 3, 'Kentucky': 2, 'Illinois': 3, 'New York': 2, 'California': 1, 'North Carolina': 8, 'Ohio': 2, 'South Carolina': 6, 'Indiana': 1, 'Alabama': 2, 'Minnesota': 1, 'Texas': 2, 'Iowa': 1}","48","213","94","139","228","124","94","9"
"Shiner Old-Time Alt","Spoetzl Brewery","83","http://beeradvocate.com/beer/profile/143/64657/?sort=topr","Altbier","{'Oklahoma': 1, 'Minnesota': 1, 'Illinois': 6, 'Arkansas': 1, 'New Mexico': 2, 'Ohio': 4, 'Maryland': 3, 'Louisiana': 3, 'Texas': 9, 'Arizona': 2, 'Iowa': 1, 'Michigan': 2, 'Kansas': 1, 'Virginia': 2, 'Connecticut': 1, 'New York': 1, 'California': 2, 'Massachusetts': 2, 'Georgia': 3, 'Pennsylvania': 9, 'Florida': 3, 'Nebraska': 1, 'Missouri': 2, 'Wisconsin': 3, 'Alabama': 1, 'Colorado': 3, 'New Jersey': 7, 'Washington': 1, 'North Carolina': 5, 'Tennessee': 2, 'District of Columbia': 1}","85","371","157","139","378","211","273","26"
"Grolsch Amber Ale","Grolsch Bierbrouwerij N.V.","75","http://beeradvocate.com/beer/profile/506/2223/?sort=topr","Altbier","{'Mississippi': 1, 'Minnesota': 2, 'Illinois': 7, 'Arkansas': 1, 'Ohio': 1, 'Indiana': 4, 'Maryland': 3, 'Texas': 2, 'Ontario (Canada)': 4, 'Arizona': 1, 'Wisconsin': 1, 'Michigan': 4, 'Virginia': 5, 'Oregon': 1, 'Connecticut': 1, 'District of Columbia': 1, 'California': 10, 'Massachusetts': 2, 'Pennsylvania': 7, 'Quebec (Canada)': 2, 'Florida': 6, 'Kentucky': 4, 'Tennessee': 2, 'Nebraska': 1, 'Missouri': 3, 'Iowa': 2, 'Colorado': 1, 'Mexico': 1, 'New Jersey': 5, 'North Carolina': 3, 'New York': 4, 'Japan': 1, 'United Kingdom (England)': 1, 'Nevada': 2}","96","363","151","78","333","165","224","5"
"Ishmael","Rising Tide Brewing Company","85","http://beeradvocate.com/beer/profile/23639/61873/?sort=topr","Altbier","{'Georgia': 1, 'Colorado': 1, 'New Jersey': 1, 'Washington': 1, 'Oregon': 1, 'Illinois': 1, 'New Hampshire': 3, 'Massachusetts': 15, 'South Carolina': 1, 'California': 1, 'Maryland': 1, 'Louisiana': 1, 'Maine': 15}","43","165","114","53","191","97","142","6"
"Okto Festival Ale","Widmer Brothers Brewing Company","79","http://beeradvocate.com/beer/profile/8/25752/?sort=topr","Altbier","{'Oklahoma': 1, 'Minnesota': 10, 'New Mexico': 1, 'Indiana': 1, 'Maryland': 1, 'Texas': 10, 'Manitoba (Canada)': 1, 'Arizona': 2, 'Iowa': 3, 'Kansas': 1, 'Utah': 1, 'Virginia': 3, 'Oregon': 8, 'Connecticut': 3, 'California': 13, 'Massachusetts': 3, 'Jordan': 1, 'Wisconsin': 1, 'Pennsylvania': 6, 'Alaska': 1, 'Kentucky': 1, 'Rhode Island': 1, 'Ohio': 1, 'Colorado': 4, 'Idaho': 4, 'Mexico': 1, 'New Jersey': 2, 'Washington': 7, 'North Carolina': 1, 'District of Columbia': 1, 'Nevada': 2, 'British Columbia (Canada)': 1}","100","463","219","193","592","205","284","27"
"Mission Amber","Mission Brewery","79","http://beeradvocate.com/beer/profile/16393/49451/?sort=topr","Altbier","{'Australia': 1, 'Iowa': 1, 'Pennsylvania': 3, 'Michigan': 1, 'New Hampshire': 2, 'Virginia': 2, 'North Carolina': 1, 'New Jersey': 2, 'Arizona': 1, 'California': 8, 'Massachusetts': 2, 'Ohio': 1, 'New York': 1, 'Idaho': 1}","27","120","62","52","155","71","117","3"
"Schell's Schmaltz's Alt","August Schell Brewing Company","85","http://beeradvocate.com/beer/profile/417/1803/?sort=topr","Altbier","{'Oklahoma': 1, 'Minnesota': 41, 'Illinois': 5, 'Ohio': 1, 'Texas': 5, 'Ontario (Canada)': 1, 'Arizona': 1, 'Wisconsin': 5, 'Michigan': 5, 'Virginia': 1, 'Connecticut': 3, 'New Hampshire': 1, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 1, 'California': 2, 'Georgia': 1, 'Pennsylvania': 5, 'Florida': 2, 'Nebraska': 2, 'Missouri': 3, 'Iowa': 5, 'Colorado': 1, 'New Jersey': 2, 'Saskatchewan (Canada)': 1, 'North Carolina': 1, 'New York': 1}","99","289","446","125","524","176","204","8"
"Uerige Doppelsticke","Uerige Obergärige Hausbrauerei GmbH / Zum Uerige","92","http://beeradvocate.com/beer/profile/1923/24042/?sort=topr","Altbier","{'Brazil': 1, 'Oklahoma': 1, 'Delaware': 1, 'Minnesota': 4, 'Illinois': 7, 'Maryland': 2, 'Louisiana': 3, 'Texas': 5, 'Ontario (Canada)': 2, 'Arizona': 1, 'Iowa': 1, 'United Kingdom (Scotland)': 1, 'Michigan': 2, 'New Hampshire': 1, 'Virginia': 6, 'Oregon': 1, 'Slovenia': 1, 'Connecticut': 2, 'Tennessee': 1, 'California': 10, 'Massachusetts': 6, 'South Carolina': 1, 'Germany': 1, 'Vermont': 1, 'Georgia': 1, 'Pennsylvania': 10, 'Florida': 3, 'Hawaii': 1, 'District of Columbia': 1, 'Ohio': 2, 'Alabama': 2, 'South Africa': 1, 'New Jersey': 4, 'Washington': 2, 'North Carolina': 1, 'New York': 7, 'Japan': 1, 'British Columbia (Canada)': 2}","100","185","581","204","713","212","242","36"
"Sleigh'r Dark Doüble Alt Ale","Ninkasi Brewing Company","85","http://beeradvocate.com/beer/profile/14400/47120/?sort=topr","Altbier","{'Minnesota': 2, 'Illinois': 1, 'Texas': 1, 'Ontario (Canada)': 1, 'Australia': 2, 'Wisconsin': 2, 'Kansas': 1, 'Utah': 1, 'Virginia': 2, 'Oregon': 15, 'Montana': 3, 'California': 31, 'Massachusetts': 1, 'South Carolina': 1, 'Vermont': 1, 'Pennsylvania': 3, 'Missouri': 1, 'Ohio': 2, 'Alabama': 1, 'Washington': 22, 'North Carolina': 2, 'New York': 1, 'British Columbia (Canada)': 3}","100","297","437","152","571","226","315","91"
"Southampton Altbier","Southampton Publick House","81","http://beeradvocate.com/beer/profile/1628/43341/?sort=topr","Altbier","{'Oklahoma': 2, 'Delaware': 2, 'Illinois': 4, 'Indiana': 2, 'Maryland': 4, 'Louisiana': 1, 'Texas': 3, 'Wisconsin': 1, 'Kansas': 1, 'Virginia': 5, 'Oregon': 1, 'Connecticut': 4, 'New York': 11, 'California': 3, 'Massachusetts': 8, 'West Virginia': 1, 'New Hampshire': 2, 'Georgia': 3, 'Pennsylvania': 13, 'Poland': 1, 'Florida': 3, 'Kentucky': 1, 'Rhode Island': 1, 'Missouri': 1, 'Ohio': 7, 'Colorado': 3, 'New Jersey': 5, 'Saskatchewan (Canada)': 1, 'North Carolina': 3, 'Tennessee': 2, 'Maine': 1}","100","387","274","154","472","221","180","21"
"Copperhead Ale","Fordham Brewing Company","77","http://beeradvocate.com/beer/profile/4067/4043/?sort=topr","Altbier","{'Alberta (Canada)': 1, 'Delaware': 3, 'Minnesota': 1, 'Illinois': 1, 'Maryland': 12, 'Louisiana': 1, 'Texas': 2, 'Arizona': 1, 'Wisconsin': 2, 'Michigan': 3, 'Kansas': 1, 'Virginia': 10, 'Oregon': 2, 'Connecticut': 1, 'New York': 7, 'California': 2, 'Massachusetts': 2, 'South Carolina': 1, 'China': 1, 'Georgia': 5, 'Pennsylvania': 12, 'Quebec (Canada)': 1, 'Florida': 3, 'Kentucky': 1, 'Nebraska': 1, 'Colorado': 2, 'New Jersey': 5, 'North Carolina': 1, 'District of Columbia': 3, 'United Kingdom (England)': 1, 'Maine': 1}","91","288","112","101","355","194","249","8"
"Ad Astra Ale","Free State Brewing Co.","84","http://beeradvocate.com/beer/profile/642/2553/?sort=topr","Altbier","{'Wisconsin': 1, 'Colorado': 2, 'New Jersey': 1, 'Washington': 1, 'Oklahoma': 3, 'Kansas': 12, 'Montana': 1, 'Virginia': 1, 'Nebraska': 2, 'Illinois': 2, 'Pennsylvania': 3, 'Connecticut': 2, 'New York': 1, 'California': 2, 'Massachusetts': 3, 'Missouri': 9, 'Indiana': 1, 'Maryland': 1, 'Alabama': 1}","49","145","124","64","213","93","112","13"
"Rescousse","Brasserie Dieu Du Ciel","87","http://beeradvocate.com/beer/profile/1141/65671/?sort=topr","Altbier","{'Australia': 3, 'Portugal': 1, 'Quebec (Canada)': 9, 'Alberta (Canada)': 6, 'Florida': 1, 'Virginia': 1, 'Nova Scotia (Canada)': 2, 'Sweden': 1, 'New Hampshire': 1, 'Massachusetts': 2, 'California': 1, 'Maryland': 1, 'British Columbia (Canada)': 1, 'Ontario (Canada)': 12}","42","122","189","72","257","120","172","19"
"Hövels Original","Hövels Hausbrauerei","84","http://beeradvocate.com/beer/profile/7713/21905/?sort=topr","Altbier","{'Minnesota': 2, 'Illinois': 1, 'Norway': 1, 'Australia': 1, 'Wisconsin': 1, 'United Kingdom (Scotland)': 1, 'Louisiana': 1, 'Kansas': 1, 'California': 1, 'Massachusetts': 2, 'Belgium': 2, 'Germany': 2, 'Vermont': 1, 'Netherlands': 2, 'Florida': 1, 'Sweden': 1, 'New Jersey': 1, 'Washington': 2, 'North Carolina': 1, 'Austria': 1, 'New York': 2, 'United Kingdom (England)': 2, 'Maine': 2}","32","129","95","29","166","81","140","7"
"OMB Copper","The Olde Mecklenburg Brewery","91","http://beeradvocate.com/beer/profile/19247/49474/?sort=topr","Altbier","{'Georgia': 3, 'Wisconsin': 1, 'Washington': 1, 'Pennsylvania': 3, 'Virginia': 2, 'Florida': 3, 'Minnesota': 1, 'Kentucky': 1, 'Tennessee': 1, 'New Jersey': 2, 'New York': 1, 'California': 1, 'North Carolina': 18, 'District of Columbia': 1, 'Missouri': 1, 'South Carolina': 9, 'Maryland': 1, 'Illinois': 5, 'Massachusetts': 1}","56","289","101","63","225","94","144","11"
"Long Trail Ale","Long Trail Brewing Co.","81","http://beeradvocate.com/beer/profile/94/3128/?sort=topr","Altbier","{'Illinois': 3, 'Indiana': 1, 'Maryland': 1, 'Texas': 3, 'Ontario (Canada)': 1, 'Virginia': 6, 'Oregon': 1, 'Connecticut': 3, 'New Hampshire': 6, 'Massachusetts': 11, 'West Virginia': 1, 'South Carolina': 2, 'California': 1, 'Vermont': 3, 'Georgia': 1, 'Pennsylvania': 17, 'Quebec (Canada)': 1, 'Rhode Island': 2, 'Missouri': 1, 'Ohio': 1, 'Colorado': 1, 'New Jersey': 9, 'Washington': 2, 'North Carolina': 2, 'New York': 15, 'Maine': 5}","100","463","160","147","399","226","313","24"
"Gravel Road","Rahr &amp; Sons Brewing Company","80","http://beeradvocate.com/beer/profile/9969/70860/?sort=topr","Altbier","{'California': 1, 'Georgia': 1, 'Florida': 1, 'Massachusetts': 1, 'Texas': 26}","30","79","110","51","174","63","90","5"
"Otter Creek Copper Ale","Otter Creek Brewing / Wolaver's","82","http://beeradvocate.com/beer/profile/119/434/?sort=topr","Altbier","{'Maryland': 3, 'Louisiana': 1, 'Texas': 3, 'Ontario (Canada)': 1, 'Arizona': 1, 'Virginia': 6, 'Connecticut': 11, 'Montana': 1, 'New Hampshire': 3, 'Massachusetts': 14, 'California': 3, 'Vermont': 2, 'Georgia': 2, 'Pennsylvania': 17, 'Florida': 1, 'Kentucky': 1, 'Rhode Island': 1, 'Missouri': 1, 'Ohio': 2, 'Colorado': 2, 'Mexico': 1, 'New Jersey': 4, 'Washington': 3, 'North Carolina': 3, 'New York': 9, 'District of Columbia': 1, 'Maine': 1}","100","407","191","107","448","204","245","25"
"Alaskan Amber","Alaskan Brewing Co.","83","http://beeradvocate.com/beer/profile/429/1309/?sort=topr","Altbier","{'Minnesota': 5, 'Illinois': 4, 'Indiana': 1, 'Maryland': 1, 'Louisiana': 1, 'Idaho': 1, 'Ontario (Canada)': 2, 'Arizona': 2, 'Wisconsin': 7, 'Michigan': 1, 'Oregon': 3, 'Montana': 1, 'California': 17, 'Massachusetts': 2, 'South Carolina': 2, 'Pennsylvania': 6, 'Florida': 1, 'Kentucky': 1, 'Australia': 3, 'Missouri': 2, 'Colorado': 12, 'New Jersey': 1, 'Washington': 6, 'North Carolina': 1, 'New York': 3, 'Texas': 10}","100","355","175","151","482","214","187","23"
"Frankenheim Alt","Privatbrauerei Frankenheim","84","http://beeradvocate.com/beer/profile/938/3150/?sort=topr","Altbier","{'Italy': 1, 'Alberta (Canada)': 3, 'Minnesota': 6, 'France': 1, 'Georgia': 3, 'Arkansas': 1, 'Indiana': 3, 'Maryland': 1, 'Louisiana': 1, 'Texas': 4, 'Ontario (Canada)': 1, 'Australia': 2, 'Iowa': 2, 'United Kingdom (Scotland)': 2, 'Michigan': 1, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 1, 'Germany': 1, 'Massachusetts': 3, 'China': 1, 'Wisconsin': 1, 'Vermont': 1, 'Netherlands': 3, 'California': 3, 'Pennsylvania': 7, 'Florida': 4, 'Sweden': 1, 'Nebraska': 1, 'Missouri': 5, 'Ohio': 5, 'Illinois': 3, 'New Jersey': 3, 'Washington': 1, 'North Carolina': 4, 'Austria': 1, 'New York': 7, 'Colombia': 1, 'Japan': 1, 'United Kingdom (England)': 2, 'Nevada': 2, 'Maine': 1, 'British Columbia (Canada)': 1}","100","326","260","105","417","200","244","17"
"Arbor Brewing Olde Number 22 Alt Bier","Arbor Brewing Company","80","http://beeradvocate.com/beer/profile/1457/4459/?sort=topr","Altbier","{'Kansas': 1, 'Wisconsin': 1, 'Colorado': 1, 'Nebraska': 1, 'Pennsylvania': 3, 'Michigan': 20, 'British Columbia (Canada)': 1, 'Virginia': 2, 'Kentucky': 1, 'Minnesota': 1, 'North Carolina': 1, 'New York': 1, 'Massachusetts': 5, 'District of Columbia': 1, 'Missouri': 1, 'Ohio': 2, 'Maryland': 2, 'Illinois': 3, 'Rhode Island': 1, 'Texas': 1, 'Ontario (Canada)': 2}","52","158","212","74","221","98","86","3"
"Sticke It To The Man","O'Fallon Brewery","76","http://beeradvocate.com/beer/profile/3268/60686/?sort=topr","Altbier","{'Iowa': 1, 'Colorado': 1, 'Pennsylvania': 1, 'Oklahoma': 2, 'Wyoming': 1, 'Virginia': 1, 'Kentucky': 3, 'Illinois': 8, 'Connecticut': 1, 'District of Columbia': 1, 'Massachusetts': 1, 'Missouri': 6, 'Ohio': 5, 'New York': 1, 'Michigan': 1, 'Ontario (Canada)': 1}","35","104","152","77","179","80","82","7"
"Duckstein Copper-Gold Premium","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","82","http://beeradvocate.com/beer/profile/628/12191/?sort=topr","Altbier","{'Pennsylvania': 1, 'Virginia': 1, 'United Kingdom (Northern Ireland)': 1, 'Massachusetts': 1, 'New Jersey': 2, 'Quebec (Canada)': 1, 'Alberta (Canada)': 5, 'Alaska': 1, 'Nova Scotia (Canada)': 1, 'Illinois': 1, 'Belgium': 1, 'Connecticut': 1, 'California': 1, 'Oregon': 1, 'Sweden': 1, 'United Kingdom (England)': 1, 'Ontario (Canada)': 8, 'Michigan': 2, 'Rhode Island': 1, 'British Columbia (Canada)': 2}","34","172","60","61","136","72","104","8"
"Baklava Braggot","Jackie O's Pub &amp; Brewery","86","http://beeradvocate.com/beer/profile/1432/73915/?sort=topr","Braggot","{'Pennsylvania': 2, 'Virginia': 1, 'Illinois': 7, 'New York': 1, 'California': 3, 'Massachusetts': 1, 'West Virginia': 1, 'South Carolina': 2, 'Ohio': 8, 'Maryland': 1, 'Texas': 1}","28","97","47","85","137","54","14","69"
"Brother Adam's Bragget Ale","Atlantic Brewing Company","87","http://beeradvocate.com/beer/profile/378/2486/?sort=topr","Braggot","{'Oklahoma': 1, 'Illinois': 4, 'Indiana': 1, 'Maryland': 4, 'Texas': 2, 'Ontario (Canada)': 2, 'Iowa': 1, 'Wisconsin': 3, 'Michigan': 1, 'Utah': 1, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 3, 'District of Columbia': 3, 'New Hampshire': 2, 'Massachusetts': 16, 'South Carolina': 1, 'California': 7, 'Georgia': 4, 'Pennsylvania': 5, 'Florida': 6, 'Rhode Island': 1, 'Missouri': 1, 'Ohio': 4, 'Alabama': 1, 'New York': 7, 'Colorado': 1, 'New Jersey': 4, 'Washington': 1, 'North Carolina': 3, 'Tennessee': 2, 'Maine': 4}","100","336","284","298","782","236","118","83"
"Slippery Slope","The People's Pint","84","http://beeradvocate.com/beer/profile/231/15723/?sort=topr","Braggot","{'Colorado': 1, 'New Jersey': 3, 'Virginia': 1, 'Oregon': 2, 'Rhode Island': 1, 'North Carolina': 1, 'Connecticut': 2, 'New York': 2, 'California': 2, 'Massachusetts': 19, 'New Hampshire': 3, 'Maryland': 2, 'Germany': 1, 'Maine': 1}","41","127","48","318","193","95","22","60"
"Old Danish Braggot","Dansk Mjød A/S","85","http://beeradvocate.com/beer/profile/19218/47490/?sort=topr","Braggot","{'Georgia': 2, 'Iowa': 1, 'New Jersey': 3, 'Virginia': 1, 'Washington': 1, 'Minnesota': 1, 'Oregon': 1, 'Illinois': 1, 'Pennsylvania': 2, 'New York': 1, 'California': 2, 'Massachusetts': 4, 'Ohio': 1, 'Wisconsin': 1, 'Texas': 1, 'Idaho': 1, 'North Carolina': 2}","26","62","65","91","212","65","15","49"
"Kuhnhenn Braggot","Kuhnhenn Brewing Company","87","http://beeradvocate.com/beer/profile/2097/12844/?sort=topr","Braggot","{'Iowa': 1, 'Georgia': 1, 'Wisconsin': 1, 'Pennsylvania': 2, 'Michigan': 5, 'Florida': 1, 'Illinois': 2, 'Connecticut': 2, 'New York': 5, 'California': 2, 'Massachusetts': 2, 'South Carolina': 2, 'Ohio': 3, 'Ontario (Canada)': 2}","31","86","142","93","245","73","19","12"
"Bob's '47 Oktoberfest","Boulevard Brewing Co.","83","http://beeradvocate.com/beer/profile/423/3321/?sort=topr","Märzen / Oktoberfest","{'Mississippi': 1, 'Oklahoma': 3, 'Minnesota': 4, 'Illinois': 12, 'Ohio': 1, 'Indiana': 1, 'Maryland': 1, 'Texas': 10, 'Iowa': 3, 'Kansas': 5, 'Virginia': 3, 'Oregon': 3, 'Tennessee': 1, 'California': 4, 'Massachusetts': 2, 'Georgia': 1, 'Pennsylvania': 2, 'Florida': 2, 'Kentucky': 2, 'Nebraska': 2, 'Missouri': 10, 'Wisconsin': 3, 'Alabama': 2, 'Colorado': 12, 'New Jersey': 2, 'Washington': 5, 'North Carolina': 1, 'New York': 1}","100","445","186","164","552","223","329","68"
"Narragansett Fest","Narragansett Brewing Co.","83","http://beeradvocate.com/beer/profile/213/61577/?sort=topr","Märzen / Oktoberfest","{'Vermont': 1, 'Arizona': 1, 'Wisconsin': 1, 'Colorado': 1, 'New Jersey': 3, 'Florida': 6, 'Minnesota': 1, 'North Carolina': 4, 'Illinois': 3, 'Pennsylvania': 9, 'Connecticut': 14, 'New York': 9, 'New Hampshire': 5, 'Massachusetts': 25, 'Indiana': 1, 'South Carolina': 1, 'Ohio': 1, 'Rhode Island': 6, 'Louisiana': 1, 'Maine': 5}","100","463","213","158","578","242","262","71"
"Saint Arnold Oktoberfest","Saint Arnold Brewing Company","82","http://beeradvocate.com/beer/profile/337/1072/?sort=topr","Märzen / Oktoberfest","{'Alberta (Canada)': 1, 'Minnesota': 2, 'Illinois': 4, 'Maryland': 2, 'Louisiana': 4, 'Texas': 46, 'Ontario (Canada)': 2, 'Korea (North)': 1, 'Iowa': 1, 'Wisconsin': 1, 'Utah': 1, 'Virginia': 1, 'New York': 2, 'New Hampshire': 1, 'Massachusetts': 2, 'South Carolina': 1, 'Georgia': 1, 'Pennsylvania': 6, 'Florida': 1, 'Kentucky': 1, 'Arizona': 1, 'Ohio': 5, 'Alabama': 1, 'Colorado': 1, 'Idaho': 1, 'New Jersey': 3, 'Washington': 1, 'North Carolina': 2, 'Tennessee': 2, 'Maine': 2}","100","358","206","144","618","203","172","42"
"Heavy Seas","Prosit!","84","http://beeradvocate.com/beer/profile/898/51857/?sort=topr","Märzen / Oktoberfest","{'Illinois': 3, 'Indiana': 3, 'Maryland': 7, 'Ontario (Canada)': 2, 'Iowa': 3, 'Michigan': 3, 'Virginia': 13, 'Connecticut': 7, 'District of Columbia': 4, 'New Hampshire': 1, 'Massachusetts': 4, 'West Virginia': 1, 'South Carolina': 2, 'California': 4, 'Georgia': 4, 'Pennsylvania': 9, 'Florida': 3, 'Kentucky': 1, 'Rhode Island': 2, 'Ohio': 5, 'Alabama': 1, 'Colorado': 1, 'New Jersey': 4, 'North Carolina': 6, 'New York': 7}","100","307","288","183","586","208","253","67"
"Hofbräu Oktoberfestbier","Staatliches Hofbräuhaus (Hofbräu München)","77","http://beeradvocate.com/beer/profile/4686/2011/?sort=topr","Märzen / Oktoberfest","{'Italy': 1, 'Oklahoma': 1, 'Missouri': 1, 'Minnesota': 4, 'Illinois': 8, 'Ohio': 6, 'Maryland': 1, 'Texas': 2, 'Ontario (Canada)': 3, 'Australia': 2, 'Iowa': 1, 'United Kingdom (Scotland)': 1, 'Michigan': 6, 'Virginia': 4, 'Connecticut': 3, 'Montana': 1, 'California': 4, 'Massachusetts': 5, 'Germany': 1, 'Netherlands': 1, 'Pennsylvania': 13, 'Florida': 1, 'Kentucky': 3, 'Sweden': 1, 'Arizona': 1, 'District of Columbia': 1, 'Wisconsin': 1, 'France': 1, 'Colorado': 3, 'New Jersey': 6, 'New York': 10, 'Greece': 1}","100","689","174","129","393","230","264","35"
"Point Oktoberfest","Stevens Point Brewery","80","http://beeradvocate.com/beer/profile/786/38224/?sort=topr","Märzen / Oktoberfest","{'Iowa': 2, 'Wisconsin': 20, 'California': 2, 'Pennsylvania': 1, 'Georgia': 1, 'Jordan': 1, 'Virginia': 2, 'North Carolina': 1, 'Illinois': 8, 'New Jersey': 5, 'Oklahoma': 3, 'New York': 5, 'New Hampshire': 1, 'Idaho': 1, 'Missouri': 5, 'South Carolina': 1, 'Ohio': 6, 'Maryland': 1, 'Minnesota': 9, 'Michigan': 5, 'Texas': 2}","83","396","145","119","397","187","163","29"
"Gordon Biersch Märzen","Gordon Biersch Brewery Restaurant","82","http://beeradvocate.com/beer/profile/1551/16254/?sort=topr","Märzen / Oktoberfest","{'Minnesota': 1, 'Illinois': 3, 'New Mexico': 1, 'Maryland': 6, 'Louisiana': 2, 'Texas': 2, 'Arizona': 2, 'Kansas': 1, 'Virginia': 7, 'Oregon': 2, 'Connecticut': 1, 'District of Columbia': 1, 'California': 22, 'Massachusetts': 2, 'Pennsylvania': 10, 'Philippines': 1, 'Florida': 4, 'Kentucky': 1, 'Missouri': 5, 'Ohio': 6, 'Alabama': 3, 'Colorado': 4, 'New Jersey': 2, 'Saskatchewan (Canada)': 1, 'Washington': 2, 'North Carolina': 1, 'New York': 6, 'Nevada': 1}","100","371","214","92","546","213","202","19"
"Penn Oktoberfest","Pennsylvania Brewing Company","85","http://beeradvocate.com/beer/profile/125/1590/?sort=topr","Märzen / Oktoberfest","{'Ohio': 12, 'Indiana': 1, 'Maryland': 2, 'Iowa': 1, 'Michigan': 1, 'Utah': 1, 'Virginia': 12, 'Connecticut': 2, 'District of Columbia': 3, 'California': 1, 'Massachusetts': 4, 'West Virginia': 2, 'South Carolina': 3, 'Georgia': 1, 'Pennsylvania': 36, 'Florida': 4, 'Kentucky': 1, 'Wisconsin': 1, 'Colorado': 1, 'New Jersey': 2, 'Washington': 1, 'North Carolina': 5, 'New York': 3}","100","496","183","131","522","227","271","43"
"The Kaiser","Avery Brewing Company","87","http://beeradvocate.com/beer/profile/30/19425/?sort=topr","Märzen / Oktoberfest","{'Oklahoma': 1, 'Minnesota': 4, 'Illinois': 5, 'Indiana': 2, 'Maryland': 3, 'Louisiana': 1, 'Texas': 12, 'Ontario (Canada)': 1, 'Iowa': 1, 'Michigan': 3, 'Kansas': 1, 'Virginia': 6, 'New York': 5, 'California': 8, 'Massachusetts': 3, 'West Virginia': 1, 'South Carolina': 1, 'Vermont': 1, 'Georgia': 2, 'Pennsylvania': 7, 'Florida': 1, 'Alaska': 2, 'Kentucky': 2, 'Nebraska': 1, 'Missouri': 3, 'Ohio': 2, 'Colorado': 8, 'New Jersey': 2, 'Washington': 5, 'North Carolina': 2, 'Tennessee': 2}","100","281","284","200","652","199","192","78"
"Dominion Octoberfest Maerzen","Old Dominion Brewing Company","81","http://beeradvocate.com/beer/profile/402/4742/?sort=topr","Märzen / Oktoberfest","{'Washington': 1, 'Minnesota': 1, 'Illinois': 2, 'Maryland': 6, 'Texas': 2, 'Tennessee': 1, 'Wisconsin': 1, 'Michigan': 4, 'Kansas': 1, 'Virginia': 23, 'Connecticut': 2, 'New York': 1, 'California': 3, 'Massachusetts': 4, 'Belgium': 1, 'New Hampshire': 1, 'Germany': 1, 'Georgia': 5, 'Pennsylvania': 21, 'Rhode Island': 1, 'Ohio': 4, 'Alabama': 1, 'New Jersey': 4, 'India': 1, 'North Carolina': 1, 'District of Columbia': 6}","100","373","180","134","494","204","255","30"
"Blue Point Oktoberfest","Blue Point Brewing Company","81","http://beeradvocate.com/beer/profile/764/6622/?sort=topr","Märzen / Oktoberfest","{'Wyoming': 1, 'Minnesota': 1, 'Illinois': 2, 'Indiana': 1, 'Maryland': 2, 'Louisiana': 1, 'Texas': 1, 'Michigan': 1, 'Virginia': 3, 'Connecticut': 9, 'District of Columbia': 1, 'Massachusetts': 3, 'South Carolina': 2, 'Georgia': 3, 'Pennsylvania': 17, 'Quebec (Canada)': 1, 'Florida': 6, 'Ohio': 4, 'Alabama': 1, 'Colorado': 1, 'New Jersey': 9, 'North Carolina': 7, 'New York': 23}","100","525","186","136","499","231","167","55"
